Datum,Markt,Produktgruppe,Produktuntergruppe,Produkt,Kennzahl,Preis,Wert,Einheit,Währung,Kostenkomponente,Verkaufsregion,Wertschöpfungsstufe,Wertschöpfungsstufe Detail,Aussenhandel,Produktherkunft,Produktionssystem,Produkteigenschaften,Verwendungsart,Datenart,Datenquelle
2024,Milch und Milchprodukte,Butter,Bratbutter,Bratbutter,Preis,24.14,24.14,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Gruyère,Gruyère mild,Preis,18.43,18.43,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Weichkäse Croûte-mixte,Weichkäse Croûte-mixte,Preis,26.45,26.45,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Butter,Vorzugsbutter,Vorzugsbutter,Preis,17.88,17.88,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,Molkereimilch (konv.),Preis,69.4536,69.4536,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Region 3,Konventionell,NA,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,Molkereimilch (konv.),Preis,69.2103,69.2103,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Region 2,Konventionell,NA,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Sbrinz,Sbrinz,Preis,25.36,25.36,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,Molkereimilch (konv.),Preis,69.3958,69.3958,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Konventionell,NA,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Konsumeier, roh","Bio, roh, 6er-Packung, CH",Preis,88.92,88.92,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Konsumeier, roh","Bio, roh, 10er-Packung, CH",Preis,80.74,80.74,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Konsumeier, roh","Bio, roh, CH",Preis,77.85,77.85,Stück,Rappen,inkl. MwSt,Schweiz,Gastrogrosshandel,Ab Gastrogrosshandel,NA,Schweiz,Bio,roh,Produkt für direkten menschlichen Verzehr ,Realisierter Wert,Grossopanel AG
